> Cross profile number -L0-00 at  143.018/036.340 az=-58.7
141.573854568	37.0325170704	-150.12541968	120.454707858	-342.727870573	-761.681459259
141.583565214	37.0279584046	-149.124532208	120.454707858	-361.181565889	-790.000706989
141.593274694	37.0233989477	-148.123645422	120.460555963	-381.873347167	-816.169854082
141.602983009	37.0188386998	-147.12275932	120.466402748	-403.704266652	-838.723867003
141.612690159	37.0142776612	-146.121873903	120.472248216	-426.058337455	-856.832723885
141.622396143	37.0097158322	-145.120989172	120.478092364	-450.324230242	-872.691258517
141.632100963	37.0051532129	-144.120105126	120.483935194	-480.696984002	-888.881753197
141.641804617	37.0005898036	-143.119221765	120.489776706	-512.088876692	-902.43995209
141.651507106	36.9960256045	-142.11833909	120.495616899	-530.877207227	-919.63275267
141.661208431	36.9914606159	-141.1174571	120.501455775	-532.035440404	-926.439613454
141.670908591	36.9868948379	-140.116575796	120.507293331	-545.445661012	-941.644288497
141.680607587	36.9823282708	-139.115695178	120.51312957	-564.845560441	-951.783509001
141.690305418	36.9777609149	-138.114815245	120.518964491	-576.288823286	-965.991909827
141.700002086	36.9731927702	-137.113935999	120.524798094	-589.993866458	-981.228286205
141.709697589	36.9686238372	-136.113057439	120.530630379	-605.728318032	-999.023817513
141.719391928	36.9640541159	-135.112179564	120.536461346	-629.424146039	-1010.72526454
141.729085103	36.9594836067	-134.111302376	120.542290995	-666.199248399	-1027.64856284
141.738777115	36.9549123097	-133.110425874	120.548119327	-707.418816703	-1044.79993933
141.748467963	36.9503402251	-132.109550059	120.553946341	-742.320458044	-1064.03678804
141.758157648	36.9457673533	-131.10867493	120.559772038	-766.378760068	-1084.51271281
141.76784617	36.9411936944	-130.107800487	120.565596418	-787.98314975	-1111.40695246
141.777533528	36.9366192486	-129.106926731	120.57141948	-824.370647251	-1133.88877808
141.787219724	36.9320440162	-128.106053662	120.577241225	-879.530751117	-1138.3880738
141.796904756	36.9274679973	-127.105181279	120.583061653	-945.122307367	-1165.05404781
141.806588626	36.9228911923	-126.104309584	120.588880764	-985.403442263	-1183.3682837
141.816271334	36.9183136014	-125.103438575	120.594698558	-1018.81118633	-1200.7444163
141.825952879	36.9137352247	-124.102568254	120.600515035	-1084.48842875	-1214.05818456
141.835633261	36.9091560625	-123.101698619	120.606330196	-1157.56126037	-1223.43065222
141.845312481	36.904576115	-122.100829672	120.61214404	-1223.03358694	-1234.91042286
141.85499054	36.8999953825	-121.099961412	120.617956567	-1275.36966775	-1254.84898934
141.864667436	36.8954138652	-120.099093839	120.623767778	-1317.41289875	-1262.84833597
141.874343171	36.8908315632	-119.098226954	120.629577672	-1351.9344883	-1276.67241422
141.884017744	36.8862484769	-118.097360756	120.63538625	-1386.85580398	-1291.01227131
141.893691155	36.8816646064	-117.096495247	120.641193512	-1422.65219986	-1314.09690413
141.903363405	36.8770799519	-116.095630424	120.646999457	-1487.76582294	-1326.0392909
141.913034494	36.8724945138	-115.09476629	120.652804086	-1574.38569936	-1334.18037016
141.922704421	36.8679082922	-114.093902843	120.6586074	-1664.55236427	-1352.46116306
141.932373188	36.8633212873	-113.093040085	120.664409398	-1776.60562201	-1358.61879693
141.942040794	36.8587334994	-112.092178014	120.670210079	-1933.50028282	-1370.21677022
141.951707239	36.8541449287	-111.091316632	120.676009445	-2103.65100573	-1379.42986571
141.961372523	36.8495555754	-110.090455938	120.681807496	-2228.27146587	-1395.10421785
141.971036647	36.8449654397	-109.089595932	120.687604231	-2323.22899373	-1408.18731246
141.980699611	36.8403745219	-108.088736615	120.69339965	-2393.92172281	-1420.74966761
141.990361415	36.8357828223	-107.087877986	120.699193754	-2448.4519104	-1428.40980582
142.000022058	36.8311903409	-106.087020045	120.704986543	-2491.5519444	-1438.30713868
142.009681542	36.826597078	-105.086162794	120.710778017	-2521.51540982	-1450.91123805
142.019339866	36.822003034	-104.085306231	120.716568175	-2554.31849046	-1462.69083813
142.02899703	36.8174082089	-103.084450356	120.722357018	-2587.18429505	-1474.37387092
142.038653035	36.812812603	-102.083595171	120.728144547	-2602.2964819	-1487.55983618
142.04830788	36.8082162165	-101.082740675	120.73393076	-2607.33476133	-1506.28127336
142.057961566	36.8036190498	-100.081886867	120.739715659	-2613.85928709	-1532.10629553
142.067614093	36.7990211029	-99.0810337494	120.745499243	-2617.10905955	-1566.74297685
142.077265461	36.7944223761	-98.0801813206	120.751281513	-2619.01661507	-1613.72413493
142.086915671	36.7898228696	-97.079329581	120.757062468	-2618.58253098	-1629.59412012
142.096564721	36.7852225837	-96.0784785309	120.762842109	-2610.12996666	-1638.73591459
142.106212613	36.7806215186	-95.0776281702	120.768620435	-2603.81119148	-1665.60639998
142.115859347	36.7760196745	-94.0767784992	120.774397447	-2604.06650103	-1699.95108044
142.125504922	36.7714170517	-93.0759295177	120.780173145	-2609.45102155	-1738.15038191
142.13514934	36.7668136502	-92.075081226	120.785947529	-2607.59949814	-1769.24325392
142.144792599	36.7622094705	-91.0742336241	120.791720599	-2597.60755259	-1793.3017017
142.1544347	36.7576045126	-90.0733867122	120.797492355	-2588.07870515	-1820.0072234
142.164075644	36.7529987769	-89.0725404902	120.803262797	-2576.02454083	-1849.81502651
142.17371543	36.7483922636	-88.0716949582	120.809031926	-2564.31954253	-1872.06824384
142.183354059	36.7437849728	-87.0708501165	120.814799741	-2559.1601981	-1883.95312611
142.19299153	36.7391769048	-86.0700059649	120.820566242	-2558.8105196	-1902.69359974
142.202627844	36.7345680598	-85.0691625037	120.82633143	-2555.30577733	-1920.94507256
